what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1297519103929
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1297519115075
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1297519116445
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1297519124073
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1297519131001
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1297519149000
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1297519149653
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1297519151704
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1297519160795
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1297519162208
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1297519299261
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1297519314454
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1297519314791
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1297519317270
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1297519320328
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1297519321554
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1297519322573
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1297519323537
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1297519325483
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1297519326476
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1297519327684
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1297519369057
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1297519382464
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1297519403395
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1297519407223
